region_id	region_name	total-occupied-housing-units	using-electricity	using-electricity-pct	urban	urban-pct	rural	rural-pct	estate	estate-pct
total	District-Total	4054186	2578119	63.6	436341	85.3	2057529	62.0	84249	37.9
LK-11	Colombo	493085	423904	86.0	216179	84.9	207059	87.5	666	35.8
LK-12	Gampaha	487184	404326	83.0	55514	86.4	348772	82.5	40	19.2
LK-13	Kalutara	250939	180218	71.8	19544	88.8	158303	72.2	2371	24.7
LK-21	Kandy	299870	211288	70.5	28068	88.6	176395	72.0	6825	29.4
LK-22	Matale	110886	56044	50.5	6492	87.0	48222	49.3	1330	23.5
LK-23	Nuwara Eliya	169540	91011	53.7	7823	82.0	42723	59.8	40465	45.7
LK-31	Galle	233027	169169	72.6	18775	88.3	148906	71.8	1488	34.4
LK-32	Matara	177613	127062	71.5	12054	91.5	113638	71.1	1370	29.0
LK-33	Hambantota	128008	62187	48.6	3932	86.9	58175	47.1	80	92.0
LK-52	Ampara	137741	68666	49.9	18908	75.3	49758	44.2	0	0
LK-61	Kurunegala	380213	193960	51.0	5557	85.3	187929	50.5	474	26.4
LK-62	Puttalam	176544	92427	52.4	11060	77.8	81021	50.1	346	55.5
LK-71	Anuradhapura	189699	92148	48.6	9458	85.7	82492	46.2	198	81.8
LK-72	Polonnaruwa	91718	41399	45.1	0	0	41308	45.1	91	92.9
LK-81	Badulla	189925	111962	59.0	9616	88.6	83170	59.6	19176	48.5
LK-82	Moneragala	96598	30511	31.6	0	0	29836	31.6	675	29.3
LK-91	Ratnapura	245743	110948	45.1	10334	85.7	95129	45.7	5485	21.4
LK-92	Kegalle	195853	110889	56.6	3027	87.6	104693	58.7	3169	22.7
