region_id,total_population_age_5plus,grade_1_5_pct,grade_6_8_pct,grade_9_11_gce_ol_pct,gce_al_and_above_pct
Total,15489928,22.2,18.6,39.8,10.6
LK-11,2084770,15.0,15.3,44.3,17.7
LK-12,1898061,15.9,16.9,48.6,13.3
LK-13,977738,19.5,18.3,43.6,11.4
LK-21,1169643,21.6,17.9,39.4,12.1
LK-22,402289,25.2,19.7,37.8,8.4
LK-23,638168,29.8,19.6,27.9,5.0
LK-31,904949,22.5,19.3,40.5,10.4
LK-32,695785,23.9,18.8,38.5,10.2
LK-33,480166,26.7,19.6,36.9,7.6
LK-53,530936,31.0,19.8,29.6,7.3
LK-61,1342047,22.6,19.8,40.4,10.1
LK-62,639836,27.3,23.6,34.1,6.8
LK-71,677088,25.5,20.5,39.0,7.2
LK-72,327710,27.9,20.5,36.8,6.5
LK-81,706552,26.3,18.9,33.5,7.7
LK-82,360308,28.5,20.2,34.7,5.9
LK-91,933061,25.9,19.6,36.0,7.6
LK-92,720821,22.0,18.4,41.0,10.1
